Country / Territory,Year,Event Name,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,locality,Longtitude,Latitude
Malaysia,2010,Malaysia: Flood - 01/01/2010,24000,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2010,Malaysia: Flood - 01/01/2010,41000,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2011,Malaysia: Flood - 01/01/2011,24000,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2012,Malaysia: Flood - 01/01/2012,22000,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2013,"Pahang, terengganu and johor flood",42626,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2014,Cameron highland flash flood,177,Weather related,Flood,Flood,Cameron Highlands,101.3801,4.4716
Malaysia,2014,Western coast flood,436,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2014,North-east states flood,4756,Weather related,Flood,Flood,Kota Bharu,102.2381,6.1254
Malaysia,2014,East coast floods,247104,Weather related,Flood,Flood,Kota Bharu,102.2381,6.1254
Malaysia,2015,Hulu selangor landslide,38,Weather related,Mass Movement,Landslide/Wet mass movement,Hulu Selangor,101.6508,3.5656
Malaysia,2015,Terengganu floods,199,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2015,Perak flood,367,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2015,Perlis and kedah floods,438,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2015,"Floods in sabah, perak, sarawak, pahang, kedah states",1421,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2015,"Floods in johor, malacca, negeri sembilan, selangor, and perak states",3000,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2016,Malaysia: Floods - Multiple States - 01/02/2016 (1st wave),9625,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2016,Malaysia: Floods - Multiple Locations - 27/02/2016,631,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2016,Malaysia: Floods - Penang and Kedah - 17/07/2016,471,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2016,Malaysia: Floods - Johor - 01/01/2016,132,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2016,Malaysia: Floods - Northwest Peninsula - 19/09/2016,1140,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2016,Terengganu floods,112,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2016,Malaysia: East Coast Monsoon - 26/12/2016,6000,Weather related,Flood,Flood,Kota Bharu,102.2381,6.1254
Malaysia,2016,Indonesia: Floods - Terengganu - 28/11/2016,330,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2017,Malaysia: Storm - Johor - 15/11/2017,5,Weather related,Storm,Storm,Johor Bahru,103.7414,1.4927
Malaysia,2017,Malaysia: Floods - Perlis - 28/11/2017,156,Weather related,Flood,Flood,Perlis,100.2048,6.4449
Malaysia,2017,Malaysia: Floods - Perak - 30/11/2017,1198,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2017,Malaysia: Floods - Pahang - 02/03/2017,206,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2017,Gombak Flash Floods,191,Weather related,Flood,Flood,Gombak,101.6667,3.2667
Malaysia,2017,Perak and Selangor Floods (Apr 24-30),186,Weather related,Flood,Flood,Apr 24-30,101.5901,3.109
Malaysia,2017,Malaysia: Floods - Perak - 02/05/2017,129,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2017,Temerloh Floods,959,Weather related,Flood,Flood,Temerloh,102.4176,3.4484
Malaysia,2017,Malaysia: Floods - Ipoh - 11/05/2017,400,Weather related,Flood,Flood,Ipoh,101.0829,4.5841
Malaysia,2017,Malaysia: Flash Flood - Selangor and Perak - 17/06/2017,446,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2017,Malaysia: Floods - Melaka - 26/06/2017,200,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2017,"China, Malaysia, Philippines, Thailand, VietNam: Typhoon Doksuri - 11/9/2017",850,Weather related,Storm,Typhoon/Hurricane/Cyclone,Unknown/National,102.2428,3.9559
Malaysia,2017,Melaka floods (August 2017),1179,Weather related,Flood,Flood,17-Aug,102.2341,2.2289
Malaysia,2017,Johor floods (August 2017),213,Weather related,Flood,Flood,17-Aug,102.2341,2.2289
Malaysia,2017,Perak floods (August 2017),65,Weather related,Flood,Flood,17-Aug,102.2341,2.2289
Malaysia,2017,Malaysia: Floods - Melaka - 4/9/2017,10,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2017,Malaysia: Floods - Johor - 19/9/2017,414,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2017,Malaysia: Flash Floods - Kedah - 3/9/2017,66,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Flood - Selangor - 3/9/2017,45,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2017,Malaysia: Floods - Pahang - 2/9/2017,49,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2017,Malaysia: Floods - Kedah - 15/9/2017,593,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Floods - Penang - 21/9/2017,809,Weather related,Flood,Flood,Timur Laut,100.2917,5.4056
Malaysia,2017,Malaysia: Floods - Negeri Sembilan - 9/9/2017,76,Weather related,Flood,Flood,Seremban,101.9378,2.7258
Malaysia,2017,Malaysia: Floods - Melaka - 18/9/2017,137,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2017,Malaysia: Floods - Kedah - 21/9/2017,5876,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Floods - Kedah - 11/10/2017,279,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Floods - Perlis - 22/9/2017,4206,Weather related,Flood,Flood,Perlis,100.2048,6.4449
Malaysia,2017,"Malaysia: Floods/Tropical Depression 29 - Penang, Kedah - 4/11/2017",11251,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Flash Floods - Johor - 14/11/2017,93,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2017,Malaysia: Floods - Selangor - 14/11/2017,100,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2017,Malaysia: Floods - Kedah - 14/11/2017,1428,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Floods - Negeri Sembilan - 12/12/2017,122,Weather related,Flood,Flood,Seremban,101.9378,2.7258
Malaysia,2017,Malaysia: Floods - Johor - 13/12/2017,36,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2017,"Malaysia: Floods - Floods - Kelantan, Terengganu, Perlis - 27/11/2017",26134,Weather related,Flood,Flood,Kota Bharu,102.2381,6.1254
Malaysia,2017,Malaysia: Floods - Pahang - 2/12/2017,250,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2017,Malaysia: Floods - Kedah - 8/12/2017,46,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2017,Malaysia: Floods - Terengganu - 8/12/2017,280,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2017,"Malaysia, Philippines: Tropical Depression Urduja / Kai-Tak - 12/12/2017",830,Weather related,Storm,Typhoon/Hurricane/Cyclone,Unknown/National,102.2428,3.9559
Malaysia,2017,Malaysia: Floods - Country-wide - 20/01/2017,15000,Weather related,Flood,Flood,Unknown/National,102.2428,3.9559
Malaysia,2017,Malaysia: Floods - Perak - 20/03/2017,378,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2018,Malaysia: Flood - Perak - 24/10/2018,111,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2018,Malaysia: Floods - Johor - 1/1/2018,423,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Floods - Terengganu - 1/1/2018,2667,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2018,Malaysia: Floods - Pahang - 2/1/2018,10504,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2018,Malaysia: Flood - Melaka - 19/11/2018,1081,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2018,Malaysia: Flood - Melaka - 12/12/2018,17,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2018,Malaysia: Floods - Kedah - 4/6/2018,152,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2018,Malaysia: Floods - Kelantan - 1/1/2018,117,Weather related,Flood,Flood,Kota Bharu,102.2381,6.1254
Malaysia,2018,Malaysia: Floods - Penang - 3/1/2018,25,Weather related,Flood,Flood,Timur Laut,100.2917,5.4056
Malaysia,2018,Malaysia: Landslide - Johor - 13/12/2018,15,Weather related,Mass Movement,Landslide/Wet mass movement,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Terrengganu - 13/12/2018,1675,Weather related,Flood,Flood,Kuala Terengganu,102.9167,5.0833
Malaysia,2018,Malaysia: Flood - Pahang - 13/12/2018,439,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2018,Malaysia: Flood - Penang - 27/5/2018,776,Weather related,Flood,Flood,Timur Laut,100.2917,5.4056
Malaysia,2018,Malaysia: Flood - Selangor - 8/10/2018,375,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Perak - 13/12/2018,50,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2018,Malaysia: Flood - Perak - 27/5/2018,1343,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2018,"Malaysia: Flood - Melaka, Pahang, Selangor - 24/1/2018",482,Weather related,Flood,Flood,Melaka Tengah,102.2341,2.2289
Malaysia,2018,"Malaysia: Floods - Mersing, Segamat, Kota Tinggi (Johor) - 11/1/2018",1395,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Floods - Pahang - 11/1/2018,1457,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2018,Malaysia: Flood - Selangor - 11/1/2018,20,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Johor - 20/1/2018,61,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Perak - 21/1/2018,29,Weather related,Flood,Flood,Kinta,101.0772,4.3879
Malaysia,2018,Malaysia: Flood - Terengganu - 21/1/2018,17,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2018,Malaysia: Flood - Selangor - 23/1/2018,46,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Negeri Sembilan - 25/1/2018,31,Weather related,Flood,Flood,Seremban,101.9378,2.7258
Malaysia,2018,Malaysia: Flood - Pahang - 2/3/2018,284,Weather related,Flood,Flood,Kuantan,103.3256,3.8126
Malaysia,2018,Malaysia: Flood - Negeri Sembilan - 27/5/2018,7,Weather related,Flood,Flood,Seremban,101.9378,2.7258
Malaysia,2018,Malaysia: Flood - Terengganu - 17/12/2018,746,Weather related,Flood,Flood,Kuala Terengganu,103.1408,5.3302
Malaysia,2018,Malaysia: Flood - Kedah - 29/5/2018,1359,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2018,Malaysia: Flood - Johor - 30/5/2018,59,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Selangor - 28/3/2018,117,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Johor - 15/4/2018,31,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Johor - 24/4/2018,146,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Selangor - 27/5/2018,139,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Kedah - 27/5/2018,804,Weather related,Flood,Flood,Kota Setar,100.3672,6.1264
Malaysia,2018,Malaysia: Floods - Johor - 4/6/2018,51,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
Malaysia,2018,Malaysia: Flood - Penang - 24/10/2018,73,Weather related,Flood,Flood,Timur Laut,100.2917,5.4056
Malaysia,2018,Malaysia: Flood - Selangor - 24/6/2018,53,Weather related,Flood,Flood,Petaling,101.5901,3.109
Malaysia,2018,Malaysia: Flood - Johor - 2/7/2018,26,Weather related,Flood,Flood,Johor Bahru,103.7414,1.4927
