Year,Crude Oil & Petroleum Product,Natural Gas,Coal & Coke,Others,Renewables - Biodiesel,Renewables - Biogas,Renewables - Biomass,Renewables - Hydro Power,Renewables - Solar,Total
1978,7022,2021,23,0,0,0,0,77,0,9143
1979,7682,2515,33,0,0,0,0,94,0,10324
1980,8254,2237,53,0,0,0,0,120,0,10664
1981,8866,1881,99,0,0,0,0,133,0,10979
1982,9165,2368,93,0,0,0,0,128,0,11754
1983,9715,3319,249,0,0,0,0,149,0,13432
1984,9405,4112,270,0,0,0,0,294,0,14081
1985,9710,3971,362,0,0,0,0,321,0,14364
1986,8858,6162,268,488,0,0,0,351,0,16127
1987,9013,6147,327,532,0,0,0,423,0,16442
1988,9424,6271,260,814,0,0,0,488,0,17257
1989,9307,7181,1158,889,0,0,0,451,0,18986
1990,11928,6801,1326,1197,0,0,0,343,0,21595
1991,13606,10112,1564,800,0,0,0,379,0,26461
1992,15273,11381,1640,250,0,0,0,375,0,28919
1993,15951,11360,1352,1562,0,0,0,419,0,30644
1994,16055,12392,1563,574,0,0,0,561,0,31145
1995,16767,13960,1612,801,0,0,0,535,0,33675
1996,19353,15567,1677,1125,0,0,0,446,0,38168
1997,21720,19041,1622,1689,0,0,0,333,0,44405
1998,19052,19101,1731,157,0,0,0,417,0,40458
1999,19450,21476,1940,1363,0,0,0,647,0,44876
2000,20242,26370,2486,491,0,0,0,599,0,50188
2001,21673,25649,2970,256,0,0,0,607,0,51155
2002,22124,26101,3642,234,0,0,0,456,0,52557
2003,23935,27257,5316,105,0,0,0,435,0,57048
2004,25253,29145,7109,240,0,0,0,501,0,62248
2005,24095,33914,6889,148,0,0,0,446,0,65492
2006,23239,34917,7299,65,0,0,0,554,0,66074
2007,25381,36638,8848,74,0,0,0,558,0,71499
2008,24996,39289,9782,52,0,0,0,642,0,74761
2009,26481,35851,10623,111,0,0,0,574,0,73640
2010,25008,35447,14777,222,0,0,0,540,0,75994
2011,26903,35740,14772,98,24,0,0,656,0,78193
2012,29502,38648,15882,90,115,4,183,779,11,85214
2013,32474,39973,15067,30,188,6,297,1003,38,89076
2014,33422,40113,15357,42,300,12,181,1152,63,90642
2015,29166,41853,17406,26,389,18,189,1346,75,90468
2016,31327,41257,18744,0,389,21,198,1723,90,93749
2017,29379,41201,20771,63,379,41,194,2287,93,94408
2018,29429,40939,22280,36,436,147,241,2265,172,95945
2019,32812,41410,21057,73,648,106,199,2251,124,98680
2020,25773,39940,24788,70,791,140,231,2348,181,94262
2021,25298,42296,22917,34,827,99,150,2676,186,94483
2022,30483,45834,23655,29,1193,134,226,2748,294,104596
