Entity,Code,Year,Direct economic loss attributed to disasters (current United States dollars)
Malaysia,MYS,2005,46626112
Malaysia,MYS,2006,29015288
Malaysia,MYS,2007,39486740
Malaysia,MYS,2008,31233738
Malaysia,MYS,2009,72869152
Malaysia,MYS,2010,33046218
Malaysia,MYS,2011,44386472
Malaysia,MYS,2012,99056192
Malaysia,MYS,2013,101087472
Malaysia,MYS,2014,174910896
Malaysia,MYS,2015,357030848
Malaysia,MYS,2016,111711736
Malaysia,MYS,2017,70674992
Malaysia,MYS,2018,34629848
Malaysia,MYS,2019,21442838
Malaysia,MYS,2020,113083456
Malaysia,MYS,2021,800711296
Malaysia,MYS,2022,26016644
Malaysia,MYS,2023,191725888
Malaysia,MYS,2024,236903553
