Year,Ammonia,Black carbon,Carbon monoxide,Methane,Nitrogen oxides,Nitrous oxide,Non-methane volatile organic compounds,Organic carbon,Sulfur dioxide,Fine particulate matter
1750,619.0757,122.72933,8697.606,1276.82,19.567638,49.6,1496.0363,443.73032,60.014984,219.94
1751,620.1905,122.91664,8710.88,1278.95,19.60029,49.68,1498.4271,444.40756,60.106575,220.28
1752,621.3051,123.10379,8724.144,1281.08,19.632935,49.76,1500.8165,445.08423,60.198093,220.61
1753,622.4197,123.2908,8737.396,1283.21,19.665562,49.84,1503.2046,445.76035,60.289543,220.95
1754,623.53406,123.47766,8750.639,1285.34,19.69818,49.92,1505.5912,446.4359,60.38092,221.28
1755,624.6484,123.664375,8763.871,1287.46,19.73078,50,1507.9764,447.111,60.47222,221.62
1756,625.7626,123.85094,8777.093,1289.59,19.763369,50.07,1510.3601,447.78552,60.563454,221.95
1757,626.87665,124.03735,8790.304,1291.71,19.795942,50.15,1512.7426,448.4595,60.65461,222.28
1758,627.9906,124.22362,8803.504,1293.84,19.828506,50.23,1515.1237,449.13297,60.745697,222.62
1759,629.10443,124.409744,8816.694,1295.96,19.861057,50.31,1517.5032,449.80588,60.83671,222.95
1760,630.21814,124.59572,8829.874,1298.08,19.893593,50.39,1519.8813,450.47827,60.92765,223.29
1761,631.3499,124.78186,8843.065,1300.21,19.926435,50.47,1522.2725,451.15128,61.018677,223.62
1762,632.4815,124.967834,8856.245,1302.34,19.959267,50.54,1524.662,451.82367,61.109623,223.95
1763,633.613,125.15365,8869.413,1304.47,19.992083,50.62,1527.05,452.49548,61.20048,224.29
1764,634.7443,125.3393,8882.57,1306.6,20.024885,50.7,1529.4364,453.16672,61.291264,224.62
1765,635.8756,125.52477,8895.715,1308.73,20.057669,50.78,1531.8213,453.83734,61.381966,224.95
1766,637.0067,125.7101,8908.848,1310.85,20.09044,50.86,1534.2045,454.50735,61.472588,225.28
1767,638.1377,125.89525,8921.97,1312.98,20.123198,50.94,1536.5863,455.17676,61.563126,225.61
1768,639.2685,126.08023,8935.079,1315.1,20.155937,51.02,1538.9664,455.84558,61.653587,225.95
1769,640.39923,126.26506,8948.178,1317.22,20.188663,51.09,1541.345,456.51382,61.74397,226.28
1770,641.5298,126.44972,8961.264,1319.34,20.221376,51.17,1543.722,457.18146,61.834263,226.61
1771,642.6784,126.63413,8974.334,1321.47,20.254366,51.25,1546.1085,457.84824,61.924446,226.94
1772,643.8269,126.81839,8987.391,1323.6,20.287342,51.33,1548.493,458.5144,62.01454,227.27
1773,644.97516,127.00243,9000.434,1325.72,20.320297,51.41,1550.8759,459.17984,62.104546,227.6
1774,646.1234,127.18631,9013.465,1327.84,20.35324,51.49,1553.257,459.84464,62.194458,227.93
1775,647.2714,127.37,9026.482,1329.97,20.386166,51.56,1555.6364,460.50876,62.284283,228.26
1776,648.4193,127.553505,9039.487,1332.09,20.419073,51.64,1558.014,461.1722,62.37402,228.59
1777,649.5671,127.736824,9052.479,1334.21,20.451963,51.72,1560.3899,461.83502,62.463665,228.91
1778,650.71466,127.91996,9065.457,1336.32,20.484838,51.8,1562.764,462.49716,62.55322,229.24
1779,651.8621,128.10292,9078.423,1338.44,20.5177,51.88,1565.1365,463.15863,62.642677,229.57
1780,653.0094,128.28569,9091.375,1340.56,20.550539,51.96,1567.5071,463.81946,62.732056,229.9
1781,654.17474,128.46777,9104.278,1342.68,20.583626,52.03,1569.8828,464.47775,62.82109,230.22
1782,655.3399,128.64964,9117.167,1344.79,20.616692,52.11,1572.2568,465.1353,62.910027,230.55
1783,656.5049,128.8313,9130.042,1346.91,20.64974,52.19,1574.6285,465.7921,62.998867,230.88
1784,657.66974,129.01276,9142.902,1349.02,20.682772,52.27,1576.9985,466.4482,63.087597,231.2
1785,658.8344,129.19402,9155.747,1351.13,20.71578,52.35,1579.3666,467.10355,63.176235,231.53
1786,659.99896,129.37508,9168.578,1353.24,20.748775,52.42,1581.7328,467.75815,63.26477,231.85
1787,661.16327,129.55592,9181.395,1355.35,20.78175,52.5,1584.0968,468.41202,63.353203,232.17
1788,662.32745,129.73656,9194.196,1357.46,20.814705,52.58,1586.459,469.06512,63.441536,232.5
1789,663.4915,129.91699,9206.983,1359.57,20.847645,52.66,1588.8193,469.7175,63.529774,232.82
1790,664.65533,130.09724,9219.756,1361.67,20.880566,52.74,1591.1776,470.36914,63.61791,233.14
1791,665.83716,130.27626,9232.443,1363.77,20.913687,52.81,1593.5364,471.0164,63.705452,233.47
1792,667.0188,130.45505,9245.114,1365.88,20.946789,52.89,1595.8931,471.6628,63.792885,233.79
1793,668.20026,130.6336,9257.769,1367.98,20.97987,52.97,1598.2474,472.30844,63.8802,234.11
1794,669.3815,130.81195,9270.406,1370.07,21.01293,53.05,1600.5997,472.9532,63.967407,234.43
1795,670.56256,130.99005,9283.029,1372.17,21.04597,53.12,1602.9498,473.59714,64.054504,234.74
1796,671.7435,131.16794,9295.635,1374.26,21.078989,53.2,1605.2977,474.24026,64.14148,235.06
1797,672.9242,131.34558,9308.225,1376.36,21.11199,53.28,1607.6434,474.88257,64.228355,235.38
1798,674.10474,131.52301,9320.798,1378.45,21.144968,53.36,1609.987,475.52405,64.31512,235.7
1799,675.2851,131.7002,9333.355,1380.54,21.177925,53.43,1612.3284,476.16467,64.401764,236.02
1800,676.46533,131.87717,9345.896,1382.62,21.210863,53.51,1614.6676,476.8045,64.4883,236.33
1801,678.29144,132.05234,9358.311,1385.13,21.271267,53.61,1617.002,477.43784,64.57396,236.65
1802,680.11975,132.22725,9370.707,1387.63,21.331749,53.7,1619.3341,478.07022,64.65949,236.96
1803,681.95013,132.4019,9383.084,1390.14,21.392311,53.8,1621.6636,478.70172,64.744896,237.27
1804,683.78265,132.57631,9395.444,1392.64,21.452948,53.89,1623.9906,479.33228,64.830185,237.59
1805,685.61725,132.75046,9407.785,1395.14,21.513666,53.98,1626.3152,479.96188,64.91534,237.9
1806,687.454,132.92435,9420.108,1397.64,21.574461,54.08,1628.6376,480.59058,65.000374,238.21
1807,689.2822,133.09798,9432.414,1400.13,21.634876,54.17,1630.9574,481.21838,65.08528,238.52
1808,691.1232,133.27136,9444.701,1402.63,21.695826,54.27,1633.2748,481.84525,65.17007,238.83
1809,692.9664,133.44449,9456.971,1405.13,21.756853,54.36,1635.5898,482.4712,65.25472,239.14
1810,694.8115,133.61736,9469.221,1407.63,21.81796,54.46,1637.9023,483.09622,65.33926,239.45
1811,696.67694,133.78777,9481.299,1410.11,21.879282,54.55,1640.2041,483.71234,65.42259,239.76
1812,698.5445,133.9579,9493.3545,1412.6,21.940678,54.64,1642.5029,484.32742,65.50579,240.06
1813,700.4143,134.12775,9505.392,1415.08,22.002151,54.74,1644.7991,484.9415,65.58884,240.37
1814,702.28613,134.29732,9517.408,1417.57,22.063704,54.83,1647.0927,485.55457,65.67176,240.67
1815,704.1601,134.46658,9529.403,1420.05,22.125334,54.93,1649.3837,486.1666,65.75453,240.97
1816,706.02545,134.63557,9541.38,1422.52,22.186571,55.02,1651.6716,486.7776,65.837166,241.28
1817,707.90375,134.80428,9553.336,1425,22.248354,55.11,1653.9573,487.38754,65.91967,241.58
1818,709.7842,134.97269,9565.271,1427.48,22.310217,55.21,1656.2399,487.99646,66.00203,241.88
1819,711.6666,135.14084,9577.1875,1429.96,22.372152,55.3,1658.52,488.60437,66.08424,242.18
1820,713.5513,135.30869,9589.083,1432.43,22.43417,55.4,1660.7972,489.21124,66.16633,242.48
1821,727.12256,137.68237,9757.303,1459.47,22.863176,56.38,1690.1747,497.79337,67.327065,246.74
1822,740.71497,140.05295,9925.3,1486.54,23.29293,57.36,1719.5226,506.36423,68.48628,250.99
1823,754.3286,142.4204,10093.077,1513.61,23.723436,58.34,1748.841,514.92377,69.643974,255.23
1824,767.9634,144.78473,10260.633,1540.7,24.154692,59.32,1778.1296,523.47205,70.80013,259.47
1825,781.61945,147.14594,10427.968,1567.81,24.586695,60.3,1807.3885,532.0091,71.95477,263.7
1826,795.28455,149.50403,10595.081,1594.92,25.018925,61.28,1836.6179,540.5348,73.10789,267.92
1827,808.9827,151.859,10761.975,1622.06,25.452417,62.25,1865.8176,549.04926,74.259476,272.14
