Year,State,Water Body,Forest,Industrial,Infrastructure and Utilities,Social Institutions and Facilities,Commercial,Beach,Mixed Development,Transport,Farming,Residential,Empty Land,Recreational Space
2016,Johor,53028.85,498741.51,14055.29,7026.17,20693.36,5307.47,5231.95,7.9,58432.17,1147505.64,34390.84,49365.21,10018.62
2016,Kedah,22535.05,358126.12,5616.14,8366.06,9822.34,2178,460.88,86.08,20769.76,451725.25,49118.25,15842.4,4680.6
2016,Kelantan,28560.56,883341.03,1445.22,10977.36,6505.43,6282.09,3403.01,14243,41024.57,381970.29,36668.69,22035,1901.58
2016,Melaka,5058.33,8857.3,2285.37,1464.18,5394.99,1044.34,777.92,0,9457.01,106439.85,11878.89,13080.37,2165.63
2016,Negeri Sembilan,13369.8,150339.41,4368.46,3696.82,19795.4,1952.48,306.34,3.08,21734.39,423861.74,17469.52,9476.44,3073.7
2016,Pahang,47807.83,2272355.13,7311.59,2801.82,13131.46,2961.46,228.31,50.21,30790.56,1168256.2,44595.87,32857.4,29531.41
2016,Pulau Pinang,4779.64,15380.05,3794.59,757.14,4191.84,1655.45,141.53,8059.35,33129.78,7610.44,11770.21,1527.24,322.61
2016,Perak,76463.76,1072641.49,12074.88,5587.74,13273.86,3352.91,0,38.23,45989.4,786284.78,38817.76,53557.7,4139.84
2016,Perlis,993.51,12161.32,745.46,2361.14,2563.78,325.86,0.56,206.18,2874.64,54416.14,3512.37,767.99,420.44
2016,Selangor,20041.96,268344.08,17411.67,7420.73,16158.66,7531.59,94.34,59661.65,299710.51,46053.77,31981.75,22235.15,497.33
2016,Terengganu,61620.77,742839.28,1781.28,2036.68,8503.52,1234.21,824.93,0,16789.74,333469.25,18529.19,50994.86,3469.44
2016,Kuala Lumpur,715.24,10.32,479.65,963.36,3760.06,1359.65,0,30.32,5937.61,0,6198.15,3281.97,2056.92
2016,Putrajaya,566.6,0,1.4,366.83,387.99,48.4,0,0,815.21,20.22,319.52,1130.82,1252.05
2016,Malaysia,335541.9,6283137.04,71371,53826.03,124182.69,35233.91,11469.77,82386,587455.35,4907613.57,305251.01,276152.55,63530.17
2018,Johor,48072.48,501325.69,17446.71,9482.65,21185.06,5192.7,1969.71,0,56663.37,1158652.8,33922.68,50813.79,9692.21
2018,Kedah,22422.04,352935.77,5481.68,7645.76,9744.67,2491.72,706.49,191.97,22754.47,442302.23,43329.6,17710.09,3890.27
2018,Kelantan,29341.26,808351.66,1353.44,1053.43,8668.22,1349.15,885.58,201.46,17493.08,465939.07,28338.01,40685.06,2167.99
2018,Melaka,5060.91,9058.38,2695.12,1634.17,5354.78,1357.49,756.2,6.32,11166.74,105909.96,13281.18,13142.39,2762.08
2018,Negeri Sembilan,12984.4,154524.89,4579.58,3765.72,19373.42,2064.28,236.22,0,21500.43,416801.53,17268.21,8965.12,3018.9
2018,Pahang,49803.06,2200499.6,12657.36,3644.56,12376.71,3026.57,751.59,28.24,31826.25,1197624.47,42653.31,31893.93,12442.26
2018,Pulau Pinang,4825.86,18207.78,4464.31,793.12,4499.46,1966.93,46.39,52.24,8783.83,36800.54,15823.85,8515.43,1745.75
2018,Perak,69336.35,1067291.98,12222.65,6208.72,13297.71,4061.9,0,34.92,44770.89,799412.17,39523.82,39441.07,4624.02
2018,Perlis,1212.06,13315.44,951.08,4466.02,3008.28,336.93,21.27,32.36,3456.54,60671.32,5763.49,927.01,442.83
2018,Selangor,26734.76,268681.42,17031.58,8525.45,21653.89,7674.11,489.64,33.61,63103.22,290604.99,42764.4,42704.94,22036.48
2018,Terengganu,81425.86,743553.26,5542.9,2150.66,8539.86,1299.89,1116.39,2.11,18366.46,390651.23,19351.01,31790.86,3324.05
2018,Kuala Lumpur,705.38,11.62,479.54,1047.25,3681.63,1357.31,0,22.96,5860.98,0,5978.63,2989.39,2209.21
2018,Putrajaya,566.56,0,2.55,409.61,365.83,61.2,0,2.21,879.16,20.21,362.33,1034.91,1227.01
2018,Malaysia,352490.98,6137757.49,84908.5,50827.12,131749.52,32240.18,6979.48,608.4,306625.42,5365390.52,308360.52,290613.99,69583.06
2019,Johor,48045.16,501265.46,17446.01,9484.76,21197.97,5254.68,1969.57,7.69,56678.9,1158695.22,33940.62,50591.74,9841.55
2019,Kedah,21728.09,346615.57,5995.27,8479.2,10064.43,2640.39,701.63,190.71,21325.68,469812.83,44542.07,17082.52,3935.69
2019,Kelantan,25925.74,801426.78,1274.27,1217.95,7630.29,1137.61,487.12,157.56,15743.21,418851.5,24864.08,28925.07,1514.46
2019,Melaka,4512.28,8995.9,2387.01,2417.77,4774.28,1153.63,756.83,6.37,10171.11,105562.01,12409.15,12192.15,2503.78
2019,Negeri Sembilan,12950.36,154569.42,4535.36,3801.32,19362.54,2058.74,236.22,0,21536.24,416510.58,17364.83,8738.86,3417.74
2019,Pahang,49809.35,2176877.63,12838.19,4003.81,12505.71,3039.7,751.69,28.24,31837.17,1218782.45,44341.47,31773.06,12367.2
2019,Pulau Pinang,4825.86,18207.78,4464.31,793.12,4499.46,1966.93,46.39,52.24,8783.83,36800.54,15823.85,8515.43,1745.75
2019,Perak,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Perlis,1212.06,13315.44,951.08,4466.02,3008.28,336.93,21.27,32.36,3456.54,60671.32,5763.49,927.01,442.83
