year,code,level,name,parent,value
2010,1,1,Agriculture,GDP,82882
2011,1,1,Agriculture,GDP,88555
2012,1,1,Agriculture,GDP,89406
2013,1,1,Agriculture,GDP,91181
2014,1,1,Agriculture,GDP,93048
2015,1,1,Agriculture,GDP,94396
2016e,1,1,Agriculture,GDP,89509
2017p,1,1,Agriculture,GDP,95968
2010,1.1,2,Rubber,Agriculture,8823
2011,1.1,2,Rubber,Agriculture,9353
2012,1.1,2,Rubber,Agriculture,8614
2013,1.1,2,Rubber,Agriculture,7759
2014,1.1,2,Rubber,Agriculture,6288
2015,1.1,2,Rubber,Agriculture,6797
2016e,1.1,2,Rubber,Agriculture,6373
2017p,1.1,2,Rubber,Agriculture,6968
2010,1.2,2,Oil palm,Agriculture,37467
2011,1.2,2,Oil palm,Agriculture,41514
2012,1.2,2,Oil palm,Agriculture,41402
2013,1.2,2,Oil palm,Agriculture,42521
2014,1.2,2,Oil palm,Agriculture,43539
2015,1.2,2,Oil palm,Agriculture,44119
2016e,1.2,2,Oil palm,Agriculture,38538
2017p,1.2,2,Oil palm,Agriculture,44720
2010,1.3,2,Livestock,Agriculture,6962
2011,1.3,2,Livestock,Agriculture,7676
2012,1.3,2,Livestock,Agriculture,8315
2013,1.3,2,Livestock,Agriculture,9086
2014,1.3,2,Livestock,Agriculture,9806
2015,1.3,2,Livestock,Agriculture,10039
2016e,1.3,2,Livestock,Agriculture,10406
2017p,1.3,2,Livestock,Agriculture,10954
2010,1.3.1,3,Poultry,Livestock,4025
2011,1.3.1,3,Poultry,Livestock,4476
2012,1.3.1,3,Poultry,Livestock,4964
2013,1.3.1,3,Poultry,Livestock,5477
2014,1.3.1,3,Poultry,Livestock,6029
2015,1.3.1,3,Poultry,Livestock,6231
2016e,1.3.1,3,Poultry,Livestock,6500
2017p,1.3.1,3,Poultry,Livestock,6845
2010,1.3.2,3,Cattle,Livestock,822
2011,1.3.2,3,Cattle,Livestock,909
2012,1.3.2,3,Cattle,Livestock,890
2013,1.3.2,3,Cattle,Livestock,975
2014,1.3.2,3,Cattle,Livestock,996
2015,1.3.2,3,Cattle,Livestock,912
2016e,1.3.2,3,Cattle,Livestock,899
2017p,1.3.2,3,Cattle,Livestock,936
2010,1.3.3,3,Other livestocks,Livestock,2116
2011,1.3.3,3,Other livestocks,Livestock,2291
2012,1.3.3,3,Other livestocks,Livestock,2461
2013,1.3.3,3,Other livestocks,Livestock,2635
2014,1.3.3,3,Other livestocks,Livestock,2781
2015,1.3.3,3,Other livestocks,Livestock,2896
2016e,1.3.3,3,Other livestocks,Livestock,3007
2017p,1.3.3,3,Other livestocks,Livestock,3173
2010,1.4,2,Other agriculture,Agriculture,12100
2011,1.4,2,Other agriculture,Agriculture,12901
2012,1.4,2,Other agriculture,Agriculture,13879
2013,1.4,2,Other agriculture,Agriculture,15031
2014,1.4,2,Other agriculture,Agriculture,16247
2015,1.4,2,Other agriculture,Agriculture,16776
2016e,1.4,2,Other agriculture,Agriculture,17506
2017p,1.4,2,Other agriculture,Agriculture,17866
2010,1.4.1,3,Paddy,Other agriculture,1837
2011,1.4.1,3,Paddy,Other agriculture,1971
2012,1.4.1,3,Paddy,Other agriculture,2002
2013,1.4.1,3,Paddy,Other agriculture,2073
2014,1.4.1,3,Paddy,Other agriculture,2158
2015,1.4.1,3,Paddy,Other agriculture,2136
2016e,1.4.1,3,Paddy,Other agriculture,2176
2017p,1.4.1,3,Paddy,Other agriculture,2077
2010,1.4.2,3,Vegetables,Other agriculture,4341
2011,1.4.2,3,Vegetables,Other agriculture,4686
2012,1.4.2,3,Vegetables,Other agriculture,5159
2013,1.4.2,3,Vegetables,Other agriculture,5707
2014,1.4.2,3,Vegetables,Other agriculture,6152
2015,1.4.2,3,Vegetables,Other agriculture,6423
2016e,1.4.2,3,Vegetables,Other agriculture,6790
2017p,1.4.2,3,Vegetables,Other agriculture,7023
2010,1.4.3,3,Fruits,Other agriculture,2879
2011,1.4.3,3,Fruits,Other agriculture,3140
2012,1.4.3,3,Fruits,Other agriculture,3323
2013,1.4.3,3,Fruits,Other agriculture,3636
2014,1.4.3,3,Fruits,Other agriculture,3958
2015,1.4.3,3,Fruits,Other agriculture,4095
2016e,1.4.3,3,Fruits,Other agriculture,4273
2017p,1.4.3,3,Fruits,Other agriculture,4399
2010,1.4.4,3,Food crops,Other agriculture,2340
2011,1.4.4,3,Food crops,Other agriculture,2412
2012,1.4.4,3,Food crops,Other agriculture,2747
2013,1.4.4,3,Food crops,Other agriculture,2956
2014,1.4.4,3,Food crops,Other agriculture,3242
2015,1.4.4,3,Food crops,Other agriculture,3387
2016e,1.4.4,3,Food crops,Other agriculture,3513
2017p,1.4.4,3,Food crops,Other agriculture,3574
2010,1.4.5,3,Others,Other agriculture,703
2011,1.4.5,3,Others,Other agriculture,692
2012,1.4.5,3,Others,Other agriculture,648
2013,1.4.5,3,Others,Other agriculture,659
2014,1.4.5,3,Others,Other agriculture,738
2015,1.4.5,3,Others,Other agriculture,736
2016e,1.4.5,3,Others,Other agriculture,754
2017p,1.4.5,3,Others,Other agriculture,793
2010,1.5,2,Forestry and logging,Agriculture,8493
2011,1.5,2,Forestry and logging,Agriculture,7920
2012,1.5,2,Forestry and logging,Agriculture,7596
2013,1.5,2,Forestry and logging,Agriculture,7015
2014,1.5,2,Forestry and logging,Agriculture,7199
2015,1.5,2,Forestry and logging,Agriculture,6629
2016e,1.5,2,Forestry and logging,Agriculture,6433
2017p,1.5,2,Forestry and logging,Agriculture,5421
2010,1.6,2,Fishing,Agriculture,9036
2011,1.6,2,Fishing,Agriculture,9192
2012,1.6,2,Fishing,Agriculture,9601
2013,1.6,2,Fishing,Agriculture,9770
2014,1.6,2,Fishing,Agriculture,9969
2015,1.6,2,Fishing,Agriculture,10036
2016e,1.6,2,Fishing,Agriculture,10253
2017p,1.6,2,Fishing,Agriculture,10040
2010,1.6.1,3,Marine fishing,Fishing,5997
2011,1.6.1,3,Marine fishing,Fishing,6161
2012,1.6.1,3,Marine fishing,Fishing,6356
2013,1.6.1,3,Marine fishing,Fishing,6541
2014,1.6.1,3,Marine fishing,Fishing,6639
2015,1.6.1,3,Marine fishing,Fishing,6703
2016e,1.6.1,3,Marine fishing,Fishing,7016
2017p,1.6.1,3,Marine fishing,Fishing,6652
2010,1.6.2,3,Aquaculture,Fishing,3039
2011,1.6.2,3,Aquaculture,Fishing,3032
2012,1.6.2,3,Aquaculture,Fishing,3246
2013,1.6.2,3,Aquaculture,Fishing,3228
2014,1.6.2,3,Aquaculture,Fishing,3331
2015,1.6.2,3,Aquaculture,Fishing,3333
2016e,1.6.2,3,Aquaculture,Fishing,3237
2017p,1.6.2,3,Aquaculture,Fishing,3388
2010,2,1,Mining and quarrying,GDP,89793
2011,2,1,Mining and quarrying,GDP,85373
2012,2,1,Mining and quarrying,GDP,86751
2013,2,1,Mining and quarrying,GDP,87789
2014,2,1,Mining and quarrying,GDP,90707
2015,2,1,Mining and quarrying,GDP,95508
2016e,2,1,Mining and quarrying,GDP,97468
2017p,2,1,Mining and quarrying,GDP,98436
2010,2.1,2,Crude oil and condensate,Mining and quarrying,46171
2011,2.1,2,Crude oil and condensate,Mining and quarrying,41166
2012,2.1,2,Crude oil and condensate,Mining and quarrying,42134
2013,2.1,2,Crude oil and condensate,Mining and quarrying,40978
2014,2.1,2,Crude oil and condensate,Mining and quarrying,42997
