Year,Number of Hot Days (T-max > 30°C) (days),Production Per Area (Tonnes per Hectare),Number of Dengue Infections,CPI,Crop Yield (Tonnes)
2002,211.34,2.021813,210480,72.4,469182
2003,190.33,4.866198,196242,76.3,1134121
2004,194.88,6.388944,209808,77.2,1496674
2005,204.41,7.780127,244635,80.9,1553209
2006,191.43,7.61112,233457,83.6,1512398
2007,181.58,6.50923,289616,86.2,1292271
2008,172.05,5.52073,304214,93.8,1004425
2009,203.01,4.736526,246002,97.6,816724
2010,212.81,5.483412,256472,100,978652
2011,184.06,5.625051,118613,104.8,981352
2012,194.69,5.813482,155485,107.6,982182
2013,197.96,5.611239,172719,111.5,840154
2014,203.23,1,558017,115.2,803367
2015,216.32,4.713888,604797,119.4,701945
2016,241.77,5.51181,509467,123.9,738318
2017,211.01,5.656826,401436,128.8,757613
2018,224.47,4.453538,262702,130.9,590067
2019,245.88,6.189032,584250,133.1,857119
