Name,English Name,Operator,Output,Source,Latitude,Longitude
Sultan Azlan Shah Power Station (Manjung Power Station),Sultan Azlan Shah Power Station (Manjung Power Station),TNB Janamanjung,4080 MW,coal,4.1624021,100.6466303
Stesen Janakuasa Tanjung Bin,Tanjung Bin Power Station,Malakoff Corporation Berhad (MCB),3100 MW,coal,1.3306409,103.536321
Empangan Bakun,Bakun Hydropower Station,Sarawak Energy,2400 MW,hydro,2.7633706,114.05406
Edra Melaka Power Plant,,Edra Power,2242 MW,gas,2.3523623,102.0508919
Sultan Salahuddin Abdul Aziz Power Station,Sultan Salahuddin Abdul Aziz Power Station,Kapar Energy Ventures,2200 MW,coal;gas,3.1210943,101.3198542
Jimah East Power Plant,Jimah East Power Plant,Tenaga Nasional,2000 MW,coal,2.5931035,101.7293523
Lumut Segari Power Plant,Lumut Segari Power Plant,Malakoff Corporation Berhad (MCB),1943 MW,gas,4.3900642,100.589557
Pengerang Cogeneration Power Plant,Pengerang Cogeneration Power Plant,Pengerang Power,1729 MW,gas,1.3765697,104.1740638
Southern Power Generation Sdn Bhd,Track 4A Southern Power Generation,Tenaga Nasional,1440 MW,gas,1.445549,103.8845032
Stesen Janaelektrik Tuanku Jaafar,Tuanku Jaafar Power Station,,1411 MW,gas,2.5324088,101.791973
Jimah Power Plant,,Edra Power,1400 MW,coal,2.5928034,101.7230666
Tanjung Kidurong Combined Cycle Plant,Tanjung Kidurong Combined Cycle Plant,Sarawak Energy,1324 MW,gas,3.2908187,113.0929108
Pulau Indah Power Plant,,Tenaga Nasional,1200 MW,gas,2.8929624,101.2935789
TNB Prai Power Plant,TNB Prai Power Plant,Tenaga Nasional,1071 MW,gas,5.3747275,100.3756451
Stesen Janakuasa Murum,Murum Hydropower Station,Sarawak Energy,944 MW,hydro,2.6709411,114.2947901
Stesen Jana Kuasa Elektrik Teluk Gong 2,Telok Gong Power Station 2,Edra Power,720 MW,gas,2.3467158,102.0507613
Kuala Langat Power Plant (KLPP),,Edra Power,675 MW,gas,2.7972595,101.6499347
Perlis power plant,,Teknologi Tenaga Perlis Consortium,650 MW,gas,6.3398529,100.1558587
Balingian New Power Station,,Sarawak Energy,624 MW,coal,2.7390568,112.4744572
Stesen Janakuasa Pergau,Pergau Power Station,Tenaga Nasional,600 MW,hydro,5.6498614,101.6956705
Tanjung Gemuk (Port Dickson) Power Plant,,Malakoff Corporation Berhad (MCB),436 MW,gas,2.5536895,101.7986317
Stesen Janaelektrik Sultan Mahmud,Sultan Mahmud Power Station,,400 MW,hydro,5.0230444,102.9107695
Connaught Bridge Power Station,Connaught Bridge Power Station,Tenaga Nasional Berhad,375 MW,gas,3.0444023,101.4688924
Stesen Janakuasa Ulu Jelai,Ulu Jelai Hydroelectric Plant,,372 MW,hydro,4.4575352,101.3894485
Malakoff Prai Power Plant,Malakoff Prai Power Plant,Malakoff Corporation Berhad (MCB),350 MW,gas,5.3757053,100.3734792
Stesen Janakuasa Temengor,Temengor Power Station,Tenaga Nasional,348 MW,hydro,5.4056292,101.2982576
Stesen Janaelektrik Gelugor,Gelugor Power Station,Tenaga Nasional,310 MW,gas,5.3808385,100.3152458
Kimanis Power Plant,Kimanis Power Plant,Petronas,285 MW,gas,5.6483473,115.889531
Mukah Coal Power Plant,,Sarawak Energy,270 MW,coal,2.9682818,112.3229326
Stesen Janaelektrik Hulu Terengganu,Hulu Terengganu Hydroelectric Project,Tenaga Nasional Berhad,265 MW,hydro,5.1552849,102.6045329
Stesen Janaelektrik Putrajaya,Putraya Power Station,Tenaga Nasional,252 MW,gas,2.9660664,101.6845106
Kulim Industrial Park Power Plant,,NUR Power,220 MW,gas,5.4318344,100.6000672
