adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha
Johor,2001,43703.09263612311744180
Kedah,2001,3599.67822240976321305
Kelantan,2001,10556.83387515080372390
Kuala Lumpur,2001,35.87566603065025281
Labuan,2001,24.36269379386340339
Melaka,2001,3592.75709396401479486
Negeri Sembilan,2001,22431.74652552632495035
Pahang,2001,47472.96823747976835610
Perak,2001,16245.21823157345384026
Perlis,2001,258.02489344574584067
Pulau Pinang,2001,132.59584486706739498
Putrajaya,2001,60.62350345127536238
Sabah,2001,63040.56426820119504999
Sarawak,2001,100293.92176427172834621
Selangor,2001,11218.65159961739605891
Terengganu,2001,10139.04308936956801264
Johor,2002,35358.81527732382393114
Kedah,2002,9893.07395250046123600
Kelantan,2002,9120.14548215443764562
Kuala Lumpur,2002,118.68767411992133118
Labuan,2002,23.05988417098144513
Melaka,2002,2813.67869905438451056
Negeri Sembilan,2002,24927.41117067357121078
Pahang,2002,58055.85382309074603102
Perak,2002,20779.31940773649763923
Perlis,2002,172.76282336401604233
Pulau Pinang,2002,436.66178926695572121
Putrajaya,2002,48.56029025391974233
Sabah,2002,59777.96454265764273763
Sarawak,2002,73916.77714459228428283
Selangor,2002,7332.40044588763340954
Terengganu,2002,10065.96722086446876731
Johor,2003,13478.01827263107277689
Kedah,2003,4456.35938356064295050
Kelantan,2003,5576.58334955570728841
Kuala Lumpur,2003,48.32025133355076136
Labuan,2003,17.84952346802192639
Melaka,2003,1271.56709162352425886
Negeri Sembilan,2003,7334.26852829371809975
Pahang,2003,26962.55734981913754513
Perak,2003,9509.63390212086010856
Perlis,2003,55.49421560399088211
Pulau Pinang,2003,194.50019443664634969
Putrajaya,2003,24.20317695185371823
Sabah,2003,33046.85956530123743096
Sarawak,2003,73946.12712292615842775
Selangor,2003,3749.36609943327893714
Terengganu,2003,4385.98290805502321771
Johor,2004,40586.17737374124571670
Kedah,2004,7109.81277311831105262
Kelantan,2004,13804.06407439942878747
Kuala Lumpur,2004,169.54335587530529797
Labuan,2004,11.10832985683783658
Melaka,2004,1266.57303289975614179
Negeri Sembilan,2004,8937.31330630522058991
Pahang,2004,45057.42318952411361902
Perak,2004,14547.80619491031567972
Perlis,2004,111.75926872234863279
Pulau Pinang,2004,416.51345533851812382
Putrajaya,2004,50.09745231809058127
Sabah,2004,86716.60447284353702080
Sarawak,2004,109132.04474081559348974
Selangor,2004,8331.50704509734357296
Terengganu,2004,15755.60617903777216641
Johor,2005,44009.23438427816681532
Kedah,2005,7568.96433484949626058
Kelantan,2005,12529.60823435294778684
Kuala Lumpur,2005,81.73594856266461517
Labuan,2005,26.66061603732694438
Melaka,2005,3809.67889345526894581
Negeri Sembilan,2005,12717.35240900174376090
Pahang,2005,61428.69079312423666257
Perak,2005,19635.35342409660721235
Perlis,2005,222.67703217123908971
Pulau Pinang,2005,514.71004347704314254
Putrajaya,2005,31.65653229889730046
Sabah,2005,73026.27721215062670964
Sarawak,2005,121972.75393945338057041
Selangor,2005,8142.42518671588955660
Terengganu,2005,10040.61295845641121633
Johor,2006,36498.98138823858277321
Kedah,2006,8193.92133821646759127
Kelantan,2006,11407.48768352285800977
Kuala Lumpur,2006,76.66522467245461258
Labuan,2006,22.29323646547960707
Melaka,2006,1801.96072988305423789
Negeri Sembilan,2006,7496.80776787367971178
Pahang,2006,44941.41919345537089266
Perak,2006,12108.16954239195066169
Perlis,2006,79.65168169169272488
Pulau Pinang,2006,597.64782319436014278
Putrajaya,2006,5.14804115318969730
Sabah,2006,81770.39927989242817051
Sarawak,2006,114173.93569630951808038
Selangor,2006,4763.10080547923981716
Terengganu,2006,10588.77818967327737702
Johor,2007,39197.52209831363420368
Kedah,2007,6068.66298467139468127
Kelantan,2007,25134.16357390850668216
Kuala Lumpur,2007,57.15407547569591789
Labuan,2007,40.90945532992133907
Melaka,2007,3366.04009787515949154
Negeri Sembilan,2007,10171.64067709262956793
Pahang,2007,43996.97816839186919370
Perak,2007,19920.95020010684447749
Perlis,2007,82.94445646070801598
Pulau Pinang,2007,335.00128706338970214
Putrajaya,2007,29.88956670055918651
Sabah,2007,62738.64600805874964073
Sarawak,2007,175583.19727970782617010
Selangor,2007,9556.36970455938456253
Terengganu,2007,9411.72339490303432824
Johor,2008,18469.39637895861217840
Kedah,2008,9888.07025391688445782
Kelantan,2008,12747.70317018263745268
Kuala Lumpur,2008,49.47112159384392567
Labuan,2008,39.22487402232314446
Melaka,2008,2011.36668566350744229
Negeri Sembilan,2008,8383.23704692513461100
Pahang,2008,34052.79841485593828625
Perak,2008,16776.15299495120435986
Perlis,2008,109.69258186471788033
Pulau Pinang,2008,337.60414775326043450
Putrajaya,2008,7.37631670303670165
Sabah,2008,84258.08869100916860537
Sarawak,2008,163494.41996898930919942
Selangor,2008,6365.98982352106309368
Terengganu,2008,11269.24391700337455912
Johor,2009,46559.94958005035542741
Kedah,2009,8277.42912427000341378
Kelantan,2009,33123.12068369442967233
Kuala Lumpur,2009,76.20674291991029208
Labuan,2009,36.62069043160808953
Melaka,2009,3296.61249672343800014
Negeri Sembilan,2009,17249.40642796717256255
Pahang,2009,55335.48120560326961070
Perak,2009,29618.16095449780102388
Perlis,2009,241.86794187131095171
Pulau Pinang,2009,717.99611179405195624
Putrajaya,2009,51.40330140449055550
Sabah,2009,92081.39019558565218457
Sarawak,2009,306669.61087643439690091
Selangor,2009,14311.36104168092024654
Terengganu,2009,15446.12005286633298298
Johor,2010,28245.03184777063512299
Kedah,2010,13061.43323271816189175
Kelantan,2010,30615.78688957305465809
Kuala Lumpur,2010,77.89401008812159928
Labuan,2010,26.20114504226482190
Melaka,2010,518.11053654323601756
Negeri Sembilan,2010,5519.89656038812617253
Pahang,2010,56967.97292136035986565
Perak,2010,27184.18771156663857789
Perlis,2010,170.08786725086827383
Pulau Pinang,2010,944.22744479582476562
Putrajaya,2010,43.8738449676125696
Sabah,2010,104183.63401220149964372
Sarawak,2010,136600.52575173679428446
Selangor,2010,9737.46741369449085979
Terengganu,2010,17054.36453127912568422
Johor,2011,57621.21180168162238281
Kedah,2011,7693.21126089366221251
Kelantan,2011,22859.98379036292111375
Kuala Lumpur,2011,33.64690076011053272
Labuan,2011,54.62301652497207616
