Date,ONI value,ONI Type
1992.0,1.71,El Niño
1992.0833,1.63,El Niño
1992.1667,1.48,El Niño
1992.25,1.29,El Niño
1992.3333,1.06,El Niño
1992.4167,0.73,El Niño
1992.5,0.37,ENSO Neutral
1992.5833,0.09,ENSO Neutral
1992.6667,-0.13,ENSO Neutral
1992.75,-0.25,ENSO Neutral
1992.8333,-0.28,ENSO Neutral
1992.9167,-0.13,ENSO Neutral
1993.0,0.09,ENSO Neutral
1993.0833,0.3,ENSO Neutral
1993.1667,0.5,ENSO Neutral
1993.25,0.67,El Niño
1993.3333,0.7,El Niño
1993.4167,0.57,El Niño
1993.5,0.32,ENSO Neutral
1993.5833,0.25,ENSO Neutral
1993.6667,0.15,ENSO Neutral
1993.75,0.1,ENSO Neutral
1993.8333,0.04,ENSO Neutral
1993.9167,0.06,ENSO Neutral
1994.0,0.06,ENSO Neutral
1994.0833,0.07,ENSO Neutral
1994.1667,0.17,ENSO Neutral
1994.25,0.31,ENSO Neutral
1994.3333,0.42,ENSO Neutral
1994.4167,0.41,ENSO Neutral
1994.5,0.44,ENSO Neutral
1994.5833,0.43,ENSO Neutral
1994.6667,0.55,El Niño
1994.75,0.74,El Niño
1994.8333,1.01,El Niño
1994.9167,1.09,El Niño
1995.0,0.96,El Niño
1995.0833,0.72,El Niño
1995.1667,0.53,El Niño
1995.25,0.3,ENSO Neutral
1995.3333,0.14,ENSO Neutral
1995.4167,-0.03,ENSO Neutral
1995.5,-0.24,ENSO Neutral
1995.5833,-0.54,La Niña
1995.6667,-0.81,La Niña
1995.75,-0.97,La Niña
1995.8333,-1.0,La Niña
1995.9167,-0.98,La Niña
1996.0,-0.9,La Niña
1996.0833,-0.75,La Niña
1996.1667,-0.59,La Niña
1996.25,-0.39,ENSO Neutral
1996.3333,-0.31,ENSO Neutral
1996.4167,-0.3,ENSO Neutral
1996.5,-0.27,ENSO Neutral
1996.5833,-0.32,ENSO Neutral
1996.6667,-0.35,ENSO Neutral
1996.75,-0.4,ENSO Neutral
1996.8333,-0.45,ENSO Neutral
1996.9167,-0.49,ENSO Neutral
1997.0,-0.5,ENSO Neutral
1997.0833,-0.36,ENSO Neutral
1997.1667,-0.1,ENSO Neutral
1997.25,0.28,ENSO Neutral
1997.3333,0.75,El Niño
1997.4167,1.22,El Niño
1997.5,1.6,El Niño
1997.5833,1.9,El Niño
1997.6667,2.14,El Niño
1997.75,2.33,El Niño
1997.8333,2.4,El Niño
1997.9167,2.39,El Niño
1998.0,2.24,El Niño
1998.0833,1.93,El Niño
1998.1667,1.44,El Niño
1998.25,0.99,El Niño
1998.3333,0.45,ENSO Neutral
1998.4167,-0.13,ENSO Neutral
1998.5,-0.78,La Niña
1998.5833,-1.12,La Niña
1998.6667,-1.31,La Niña
1998.75,-1.35,La Niña
1998.8333,-1.48,La Niña
1998.9167,-1.57,La Niña
1999.0,-1.55,La Niña
1999.0833,-1.3,La Niña
1999.1667,-1.07,La Niña
1999.25,-0.98,La Niña
1999.3333,-1.02,La Niña
1999.4167,-1.04,La Niña
1999.5,-1.1,La Niña
1999.5833,-1.11,La Niña
1999.6667,-1.16,La Niña
1999.75,-1.26,La Niña
1999.8333,-1.46,La Niña
1999.9167,-1.65,La Niña
2000.0,-1.66,La Niña
2000.0833,-1.41,La Niña
2000.1667,-1.07,La Niña
2000.25,-0.81,La Niña
2000.3333,-0.71,La Niña
2000.4167,-0.64,La Niña
2000.5,-0.55,La Niña
2000.5833,-0.51,La Niña
2000.6667,-0.55,La Niña
2000.75,-0.63,La Niña
2000.8333,-0.75,La Niña
2000.9167,-0.74,La Niña
2001.0,-0.68,La Niña
2001.0833,-0.52,La Niña
2001.1667,-0.44,ENSO Neutral
2001.25,-0.34,ENSO Neutral
2001.3333,-0.25,ENSO Neutral
2001.4167,-0.12,ENSO Neutral
2001.5,-0.08,ENSO Neutral
2001.5833,-0.13,ENSO Neutral
2001.6667,-0.19,ENSO Neutral
2001.75,-0.29,ENSO Neutral
2001.8333,-0.35,ENSO Neutral
2001.9167,-0.31,ENSO Neutral
2002.0,-0.15,ENSO Neutral
2002.0833,0.03,ENSO Neutral
2002.1667,0.09,ENSO Neutral
2002.25,0.2,ENSO Neutral
2002.3333,0.43,ENSO Neutral
2002.4167,0.65,El Niño
2002.5,0.79,El Niño
2002.5833,0.86,El Niño
2002.6667,1.01,El Niño
2002.75,1.21,El Niño
2002.8333,1.31,El Niño
2002.9167,1.14,El Niño
2003.0,0.92,El Niño
2003.0833,0.63,El Niño
2003.1667,0.38,ENSO Neutral
2003.25,-0.04,ENSO Neutral
2003.3333,-0.26,ENSO Neutral
2003.4167,-0.16,ENSO Neutral
2003.5,0.08,ENSO Neutral
2003.5833,0.21,ENSO Neutral
2003.6667,0.26,ENSO Neutral
2003.75,0.29,ENSO Neutral
2003.8333,0.35,ENSO Neutral
2003.9167,0.35,ENSO Neutral
2004.0,0.37,ENSO Neutral
2004.0833,0.31,ENSO Neutral
2004.1667,0.23,ENSO Neutral
2004.25,0.17,ENSO Neutral
2004.3333,0.17,ENSO Neutral
2004.4167,0.28,ENSO Neutral
2004.5,0.47,ENSO Neutral
2004.5833,0.64,El Niño
2004.6667,0.7,El Niño
2004.75,0.67,El Niño
2004.8333,0.66,El Niño
2004.9167,0.69,El Niño
2005.0,0.64,El Niño
2005.0833,0.58,El Niño
2005.1667,0.45,ENSO Neutral
2005.25,0.43,ENSO Neutral
2005.3333,0.29,ENSO Neutral
2005.4167,0.11,ENSO Neutral
2005.5,-0.06,ENSO Neutral
2005.5833,-0.14,ENSO Neutral
2005.6667,-0.11,ENSO Neutral
2005.75,-0.29,ENSO Neutral
2005.8333,-0.57,La Niña
2005.9167,-0.84,La Niña
2006.0,-0.85,La Niña
2006.0833,-0.77,La Niña
2006.1667,-0.57,La Niña
2006.25,-0.37,ENSO Neutral
2006.3333,-0.14,ENSO Neutral
2006.4167,-0.03,ENSO Neutral
2006.5,0.1,ENSO Neutral
2006.5833,0.3,ENSO Neutral
2006.6667,0.54,El Niño
2006.75,0.77,El Niño
2006.8333,0.94,El Niño
2006.9167,0.94,El Niño
2007.0,0.66,El Niño
2007.0833,0.22,ENSO Neutral
2007.1667,-0.12,ENSO Neutral
2007.25,-0.32,ENSO Neutral
2007.3333,-0.38,ENSO Neutral
2007.4167,-0.47,ENSO Neutral
2007.5,-0.56,La Niña
2007.5833,-0.81,La Niña
2007.6667,-1.07,La Niña
2007.75,-1.34,La Niña
2007.8333,-1.5,La Niña
2007.9167,-1.6,La Niña
2008.0,-1.64,La Niña
2008.0833,-1.52,La Niña
2008.1667,-1.29,La Niña
2008.25,-1.01,La Niña
2008.3333,-0.84,La Niña
2008.4167,-0.61,La Niña
2008.5,-0.37,ENSO Neutral
2008.5833,-0.23,ENSO Neutral
2008.6667,-0.24,ENSO Neutral
2008.75,-0.35,ENSO Neutral
2008.8333,-0.55,La Niña
2008.9167,-0.73,La Niña
2009.0,-0.85,La Niña
2009.0833,-0.79,La Niña
2009.1667,-0.61,La Niña
2009.25,-0.33,ENSO Neutral
2009.3333,0.01,ENSO Neutral
2009.4167,0.28,ENSO Neutral
2009.5,0.45,ENSO Neutral
2009.5833,0.58,El Niño
2009.6667,0.71,El Niño
2009.75,1.01,El Niño
2009.8333,1.36,El Niño
2009.9167,1.56,El Niño
2010.0,1.5,El Niño
2010.0833,1.22,El Niño
2010.1667,0.84,El Niño
2010.25,0.35,ENSO Neutral
2010.3333,-0.17,ENSO Neutral
2010.4167,-0.66,La Niña
2010.5,-1.05,La Niña
2010.5833,-1.35,La Niña
2010.6667,-1.56,La Niña
2010.75,-1.64,La Niña
2010.8333,-1.64,La Niña
2010.9167,-1.54,La Niña
2011.0,-1.31,La Niña
2011.0833,-1.04,La Niña
2011.1667,-0.8,La Niña
2011.25,-0.62,La Niña
2011.3333,-0.46,ENSO Neutral
2011.4167,-0.37,ENSO Neutral
2011.5,-0.43,ENSO Neutral
2011.5833,-0.58,La Niña
2011.6667,-0.79,La Niña
2011.75,-0.96,La Niña
2011.8333,-1.02,La Niña
2011.9167,-0.92,La Niña
2012.0,-0.72,La Niña
2012.0833,-0.57,La Niña
2012.1667,-0.46,ENSO Neutral
2012.25,-0.36,ENSO Neutral
2012.3333,-0.17,ENSO Neutral
2012.4167,0.06,ENSO Neutral
2012.5,0.3,ENSO Neutral
2012.5833,0.41,ENSO Neutral
2012.6667,0.41,ENSO Neutral
2012.75,0.31,ENSO Neutral
2012.8333,0.13,ENSO Neutral
2012.9167,-0.1,ENSO Neutral
2013.0,-0.29,ENSO Neutral
2013.0833,-0.29,ENSO Neutral
2013.1667,-0.21,ENSO Neutral
2013.25,-0.19,ENSO Neutral
2013.3333,-0.27,ENSO Neutral
2013.4167,-0.34,ENSO Neutral
2013.5,-0.35,ENSO Neutral
2013.5833,-0.28,ENSO Neutral
2013.6667,-0.21,ENSO Neutral
2013.75,-0.13,ENSO Neutral
2013.8333,-0.1,ENSO Neutral
2013.9167,-0.15,ENSO Neutral
2014.0,-0.28,ENSO Neutral
2014.0833,-0.32,ENSO Neutral
2014.1667,-0.14,ENSO Neutral
2014.25,0.15,ENSO Neutral
2014.3333,0.31,ENSO Neutral
2014.4167,0.23,ENSO Neutral
2014.5,0.1,ENSO Neutral
2014.5833,0.11,ENSO Neutral
2014.6667,0.28,ENSO Neutral
2014.75,0.54,El Niño
2014.8333,0.71,El Niño
2014.9167,0.77,El Niño
2015.0,0.69,El Niño
2015.0833,0.61,El Niño
2015.1667,0.65,El Niño
2015.25,0.81,El Niño
2015.3333,1.02,El Niño
2015.4167,1.25,El Niño
2015.5,1.57,El Niño
2015.5833,1.91,El Niño
2015.6667,2.21,El Niño
2015.75,2.47,El Niño
2015.8333,2.64,El Niño
2015.9167,2.75,El Niño
2016.0,2.63,El Niño
2016.0833,2.28,El Niño
2016.1667,1.71,El Niño
2016.25,1.05,El Niño
2016.3333,0.49,ENSO Neutral
2016.4167,0.0,ENSO Neutral
2016.5,-0.31,ENSO Neutral
2016.5833,-0.5,ENSO Neutral
2016.6667,-0.58,La Niña
2016.75,-0.64,La Niña
2016.8333,-0.6,La Niña
2016.9167,-0.45,ENSO Neutral
2017.0,-0.19,ENSO Neutral
2017.0833,-0.02,ENSO Neutral
2017.1667,0.18,ENSO Neutral
2017.25,0.31,ENSO Neutral
