Category,Average Mean Surface Air Temperature (°C),Annual Precipitation,Sea Level Change
1992,25.1,2515.19,0
1993,25.06,2881.07,7.658386
1994,25.18,2819.13,13.288627
1995,25.23,3191.95,16.43718
1996,25.13,3094.67,14.1602885
1997,25.33,2528.24,18.389491
1998,26.01,2794.17,16.700402
1999,25.15,3124.47,23.946762
2000,25.29,2966.37,29.459044
2001,25.36,2995.27,31.203652
2002,25.63,2333.73,29.565882
2003,25.51,2603.03,33.21436
2004,25.53,2372.91,36.28029
2005,25.68,2486.9,39.57893
2006,25.43,2957,39.40676
2007,25.41,3285.82,40.484
2008,25.22,3519.15,43.887924
2009,25.59,2933.8,50.86951
2010,25.79,3122.05,49.417667
2011,25.42,3138.3,55.338144
2012,25.49,3183.47,62.85527
2013,25.65,3105.57,62.694006
2014,25.61,2856.26,67.230575
2015,25.84,2693.93,72.748706
2016,26.29,2744.69,73.42799
2017,25.81,3261.51,76.18952
2018,25.86,2914.24,79.406485
2019,26.15,2526.31,84.54041
2020,26.02,3151.07,89.99522
2021,25.73,3163.03,93.46674
2022,25.65,3443.68,96.89743
2023,26.09,3167.54,101.76218
2024,26.43,3353.9,104.89877
